,id,y,year,stage,match,gameday,time,home,away,stadium,tv,avg_cus,youbi,setsu,start_hour
0,13994,18250,2012,Ｊ１,第１節第１日,03/10(土),14:04,ベガルタ仙台,鹿島アントラーズ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ総合,15351.315789473685,土,1,14
1,14012,11831,2012,Ｊ１,第３節第１日,03/24(土),13:03,ベガルタ仙台,大宮アルディージャ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,15351.315789473685,土,3,13
2,14031,13147,2012,Ｊ１,第５節第１日,04/07(土),14:03,ベガルタ仙台,ジュビロ磐田,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ仙台／ＮＨＫ静岡,15351.315789473685,土,5,14
3,14055,17192,2012,Ｊ１,第７節第１日,04/21(土),19:04,ベガルタ仙台,ＦＣ東京,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,15351.315789473685,土,7,19
4,14075,18525,2012,Ｊ１,第１０節第１日,05/06(日),13:04,ベガルタ仙台,清水エスパルス,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ仙台,15351.315789473685,日,10,13
5,14111,13554,2012,Ｊ１,第１４節第１日,06/16(土),13:33,ベガルタ仙台,コンサドーレ札幌,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ミヤギテレビ,15351.315789473685,土,14,13
6,14130,18722,2012,Ｊ１,第１６節第１日,06/30(土),18:34,ベガルタ仙台,サンフレッチェ広島,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光,15351.315789473685,土,16,18
7,14158,14611,2012,Ｊ１,第１９節第１日,07/28(土),18:34,ベガルタ仙台,サガン鳥栖,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光,15351.315789473685,土,19,18
8,14166,17935,2012,Ｊ１,第２０節第１日,08/04(土),18:34,ベガルタ仙台,横浜Ｆ・マリノス,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光,15351.315789473685,土,20,18
9,14185,17715,2012,Ｊ１,第２２節第１日,08/18(土),19:04,ベガルタ仙台,柏レイソル,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）,15351.315789473685,土,22,19
10,14204,17159,2012,Ｊ１,第２４節第１日,09/01(土),19:04,ベガルタ仙台,川崎フロンターレ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,15351.315789473685,土,24,19
11,14220,15509,2012,Ｊ１,第２６節第１日,09/22(土・祝),15:34,ベガルタ仙台,ヴィッセル神戸,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,15351.315789473685,土,26,15
12,14242,18003,2012,Ｊ１,第２８節第１日,10/06(土),19:04,ベガルタ仙台,ガンバ大阪,ユアテックスタジアム仙台,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,15351.315789473685,土,28,19
13,14247,17711,2012,Ｊ１,第２９節第１日,10/20(土),13:04,ベガルタ仙台,浦和レッズ,ユアテックスタジアム仙台,スカパー！／スカパー！プレミアムサービス,15351.315789473685,土,29,13
14,14264,17493,2012,Ｊ１,第３１節第１日,11/07(水),19:04,ベガルタ仙台,セレッソ大阪,ユアテックスタジアム仙台,スカパー！／スカパー！プレミアムサービス,15351.315789473685,水,31,19
